code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,forward_annual_dividend,trailing_annual_dividend,dividend_change_pct,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct,next_earnings_date,earnings_date_start,earnings_date_end,ex_dividend_date,last_dividend_date,signal_version,monthly_rsi14,monthly_rsi_ma5,monthly_rsi14_up,monthly_rsi_ma5_up,monthly_rsi_spread
3931,3931.T,バリューゴルフ,2026-06,OUT,5,67.31,72.73,True,True,5.42,2026-02,1598.0,1990.0,1990.0,24.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07,1533.0,-4.07,,12.28,2.53,576.15,,,,1.71,254.32,0.28,1.16,0.07,1.85,-0.9,125.0,1.37,0.59,148.99,33.7,26.29,33.45,,,8.35,15.51,1.04,0.09,1.81,88.0,,,,2027-01-28,2027-01-28,tv_wilder_rsi14_sma5_v1,72.73,67.31,True,True,5.42
3964,3964.T,オークネット,2026-06,OUT,14,82.04,83.76,True,False,1.72,2025-05,772.0,1364.0,1364.0,76.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07,1335.0,72.93,22.63,8.31,4.97,296.07,,,,2.99,40.82,25.86,11.88,10.12,19.48,19.6,57.0,1.8,1.47,,51.88,1333.59,1049.09,95.58,69.62,289.03,0.0,117.22,0.16,90.72,96.0,,,,2026-12-29,2026-12-29,tv_wilder_rsi14_sma5_v1,83.76,82.04,False,True,1.72
4021,4021.T,日産化学,2026-06,OUT,3,65.22,71.26,True,True,6.05,2026-04,6775.0,8473.0,8473.0,25.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07,7503.0,10.75,20.35,23.24,3.94,1903.41,,,,2.8,54.85,20.39,11.58,17.78,22.06,10.0,31.6,2.83,1.73,14.84,71.89,10005.02,10259.94,641.64,324.73,357.29,384.45,790.65,0.47,133.49,100.0,,,,2026-09-29,2027-03-30,tv_wilder_rsi14_sma5_v1,71.26,65.22,True,True,6.05
4027,4027.T,テイカ,2026-06,OUT,6,68.34,73.72,True,False,5.38,2026-01,1391.0,2360.0,2360.0,69.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07,2224.0,59.88,,11.23,0.9,2670.6,,,,3.31,45.7,-1.4,1.54,-1.53,4.66,6.9,,2.96,1.78,20.13,68.85,546.82,567.21,45.41,-40.17,112.73,123.77,61.19,0.43,22.66,92.0,,,,2026-09-29,2027-03-30,tv_wilder_rsi14_sma5_v1,73.72,68.34,False,True,5.38
4042,4042.T,東ソー,2026-06,OUT,2,63.64,68.33,True,True,4.69,2026-05,2750.0,2927.0,2927.0,6.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07,2710.5,-1.44,20.58,12.33,1.01,2701.58,,,,3.69,75.54,,,5.2,11.37,11.8,208.3,2.13,1.26,30.38,59.04,8380.78,10127.71,784.05,,1913.65,2821.37,1591.69,0.51,307.89,88.0,,,,2026-09-29,2027-03-30,tv_wilder_rsi14_sma5_v1,68.33,63.64,True,True,4.69
4043,4043.T,トクヤマ,2026-06,OUT,2,69.5,69.72,False,False,0.22,2026-05,5107.0,4889.0,4889.0,-4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07,3792.0,-25.75,13.04,9.57,1.01,3988.93,,,,3.55,38.88,,,0.0,7.1,,,1.74,1.0,54.55,50.78,2895.79,4228.0,,,490.33,1646.98,583.76,,71.95,72.0,,,,2026-09-29,2027-03-30,tv_wilder_rsi14_sma5_v1,69.72,69.5,False,False,0.22
4044,4044.T,セントラル硝子,2026-06,OUT,1,66.19,68.04,True,True,1.85,2026-06,4420.0,4420.0,4420.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07,3980.0,-9.95,12.69,10.5,0.86,4986.33,,,,3.98,50.4,7.51,3.11,5.79,9.24,3.1,,2.54,1.44,23.27,62.49,1061.13,1145.9,264.41,94.04,256.97,298.36,180.2,0.12,24.79,96.0,,,,2026-09-29,2027-03-30,tv_wilder_rsi14_sma5_v1,68.04,66.19,True,True,1.85
4047,4047.T,関東電化工業,2026-06,OUT,2,75.39,83.2,True,False,7.8,2026-05,3625.0,3555.0,3555.0,-1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07,2669.0,-26.37,43.2,31.45,2.25,1262.27,,,,1.25,30.32,5.4,2.69,5.79,15.37,18.8,49.7,2.32,1.41,53.66,55.13,1632.29,1864.83,72.8,-40.22,202.2,398.44,147.85,1.21,57.35,100.0,,,,2026-09-29,2027-03-30,tv_wilder_rsi14_sma5_v1,83.2,75.39,False,True,7.8
4062,4062.T,イビデン,2026-06,OUT,3,78.23,86.31,True,True,8.08,2026-04,13480.0,23815.0,23815.0,76.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07,16650.0,23.52,88.96,61.85,9.37,2039.24,,,,11.0,11.63,12.65,3.95,15.59,21.14,26.4,41.7,1.83,1.52,31.92,57.27,53406.42,51614.49,1927.37,651.35,3733.66,1853.01,1396.93,1.67,279.47,100.0,,,,2026-09-29,2027-03-30,tv_wilder_rsi14_sma5_v1,86.31,78.23,True,True,8.08
4064,4064.T,日本カーバイド工業,2026-06,OUT,1,71.21,75.31,False,True,4.1,2026-06,3590.0,3590.0,3590.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07,3205.0,-10.72,12.62,15.27,0.86,4123.99,,,,3.79,32.89,7.52,4.06,5.22,7.08,-3.5,11.6,3.22,2.33,16.74,61.27,329.19,268.03,55.67,31.52,155.52,68.54,59.55,0.43,9.33,100.0,,,,2026-09-29,2027-03-30,tv_wilder_rsi14_sma5_v1,75.31,71.21,True,False,4.1
