code,ticker,name,signal_month,status,months_active,rsi14,rsi5,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct
3864,3864.T,三菱製紙,2026-06,CONTINUE,5,64.0,79.69,15.69,2026-02,855.0,1012.0,1012.0,27.72
3663,3663.T,CELSYS INC,2026-06,NEW,1,66.39,81.63,15.25,2026-06,1879.0,1879.0,1879.0,0.59
6191,6191.T,AIRTRIP CORP,2026-06,CONTINUE,2,38.39,53.62,15.23,2026-05,831.0,761.0,761.0,5.29
2121,2121.T,MIXI. INC,2026-06,CONTINUE,2,33.78,48.59,14.81,2026-05,2643.0,2707.0,2707.0,11.92
8281,8281.T,XEBIO HOLDINGS CO LTD,2026-06,CONTINUE,3,30.28,44.94,14.66,2026-04,993.0,1052.0,1052.0,12.39
3657,3657.T,POLE TO WIN HOLDINGS INC,2026-06,CONTINUE,5,39.89,54.43,14.54,2026-02,326.0,323.0,323.0,2.15
7976,7976.T,MITSUBISHI PENCIL CO,2026-06,CONTINUE,10,65.41,79.42,14.02,2025-09,2166.0,2699.0,2699.0,24.1
6050,6050.T,E-GUARDIAN INC,2026-06,NEW,1,27.26,41.22,13.96,2026-06,1685.0,1685.0,1685.0,3.26
9517,9517.T,EREX CO LTD,2026-06,CONTINUE,5,45.1,58.91,13.81,2026-02,736.0,745.0,745.0,20.52
2801,2801.T,KIKKOMAN CORP,2026-06,NEW,1,64.56,78.23,13.67,2026-06,1668.0,1668.0,1668.0,-0.06
4443,4443.T,SANSAN INC,2026-06,CONTINUE,2,39.6,52.98,13.38,2026-05,1679.0,1553.0,1553.0,8.81
3480,3480.T,J S B CO LTD,2026-06,CONTINUE,4,86.74,100.0,13.26,2026-03,4985.0,8980.0,8980.0,80.14
3696,3696.T,CERES INC.,2026-06,CONTINUE,2,48.98,62.11,13.13,2026-05,1798.0,2091.0,2091.0,17.24
9535,9535.T,HIROSHIMA GAS CO,2026-06,NEW,1,63.24,76.19,12.96,2026-06,390.0,390.0,390.0,8.21
6099,6099.T,エラン,2026-06,NEW,1,52.05,64.94,12.89,2026-06,744.0,744.0,744.0,5.51
2681,2681.T,GEO HOLDINGS CORP,2026-06,CONTINUE,8,52.33,65.14,12.8,2025-11,1690.0,2017.0,2017.0,19.82
9793,9793.T,DAISEKI CO LTD,2026-06,CONTINUE,8,56.19,68.7,12.5,2025-11,3510.0,3930.0,3930.0,7.69
3923,3923.T,RAKUS CO LTD,2026-06,NEW,1,44.59,56.99,12.4,2026-06,945.2,945.2,945.2,7.44
3333,3333.T,ASAHI CO LTD,2026-06,CONTINUE,4,38.42,50.72,12.3,2026-03,1331.0,1291.0,1291.0,1.05
7366,7366.T,LITALICO INC,2026-06,CONTINUE,2,61.11,73.36,12.25,2026-05,1591.0,1580.0,1580.0,1.82
6845,6845.T,AZBIL CORP,2026-06,NEW,1,70.3,82.53,12.23,2026-06,1719.5,1719.5,1719.5,-5.58
9072,9072.T,NIKKON HOLDINGS CO LTD,2026-06,CONTINUE,2,86.29,98.48,12.19,2026-05,5933.0,5898.0,5898.0,-9.83
6526,6526.T,SOCIONEXT INC,2026-06,CONTINUE,2,60.89,73.07,12.18,2026-05,2635.0,2551.5,2551.5,-14.0
4718,4718.T,WASEDA ACADEMY,2026-06,CONTINUE,2,52.48,64.54,12.06,2026-05,2462.0,2322.0,2322.0,-1.5
6564,6564.T,MIDAC HOLDINGS CO LTD,2026-06,CONTINUE,4,40.89,52.75,11.86,2026-03,1917.0,2031.0,2031.0,14.4
3778,3778.T,SAKURA INTERNET INC,2026-06,CONTINUE,3,46.9,58.64,11.75,2026-04,3130.0,2956.0,2956.0,-11.09
4559,4559.T,ZERIA PHARMACEUTICAL,2026-06,CONTINUE,7,37.34,49.04,11.7,2025-12,2099.0,2041.0,2041.0,-2.14
9502,9502.T,CHUBU ELECTRIC POWER CO INC,2026-06,NEW,1,82.32,93.98,11.66,2026-06,3060.0,3060.0,3060.0,-6.44
2531,2531.T,宝ホールディングス,2026-06,CONTINUE,3,78.24,89.78,11.54,2026-04,1770.0,2240.5,2240.5,21.38
4326,4326.T,INTAGE HOLDINGS INC,2026-06,NEW,1,53.35,64.86,11.51,2026-06,1725.0,1725.0,1725.0,9.51
3091,3091.T,BRONCO BILLY CO LTD,2026-06,CONTINUE,2,64.71,76.15,11.44,2026-05,2107.5,2200.0,2200.0,14.02
6367,6367.T,DAIKIN INDUSTRIES,2026-06,NEW,1,74.19,85.63,11.44,2026-06,24685.0,24685.0,24685.0,-0.75
7818,7818.T,TRANSACTION CO LTD,2026-06,CONTINUE,5,54.48,65.86,11.38,2026-02,1358.0,1402.0,1402.0,-7.22
6594,6594.T,NIDEC CORPORATION,2026-06,CONTINUE,5,51.38,62.72,11.35,2026-02,2462.0,2645.0,2645.0,0.81
4847,4847.T,INTELLIGENT WAVE INC,2026-06,CONTINUE,3,33.81,45.11,11.3,2026-04,976.0,933.0,933.0,-2.46
8136,8136.T,SANRIO CO LTD,2026-06,CONTINUE,2,49.13,60.25,11.12,2026-05,856.2,1100.0,1100.0,40.68
6238,6238.T,FURYU CORPORATION,2026-06,CONTINUE,5,81.51,92.62,11.11,2026-02,1258.0,1364.0,1364.0,6.52
4919,4919.T,MILBON CO LTD,2026-06,CONTINUE,8,48.73,59.81,11.09,2025-11,2541.0,2662.0,2662.0,11.53
6806,6806.T,ヒロセ電機,2026-06,CONTINUE,3,71.96,82.97,11.01,2026-04,21825.0,28835.0,28835.0,21.47
4565,4565.T,NXERA PHARMA CO LTD,2026-06,CONTINUE,14,56.19,67.12,10.93,2025-05,908.0,990.0,990.0,0.11
3915,3915.T,TERRASKY CO LTD,2026-06,NEW,1,45.21,56.14,10.92,2026-06,2255.0,2255.0,2255.0,-4.43
7752,7752.T,RICOH CO,2026-06,CONTINUE,8,43.94,54.76,10.82,2025-11,1401.0,1406.0,1406.0,7.14
7522,7522.T,WATAMI CO LTD,2026-06,NEW,1,28.28,39.02,10.74,2026-06,935.0,935.0,935.0,0.86
8242,8242.T,H2O RETAILING CORP,2026-06,CONTINUE,10,75.72,86.27,10.55,2025-09,2171.0,2854.5,2854.5,30.75
7085,7085.T,CURVES HOLDINGS CO LTD,2026-06,NEW,1,66.02,76.45,10.43,2026-06,918.0,918.0,918.0,2.4
3687,3687.T,FIXSTARS CORPORATION,2026-06,CONTINUE,2,57.74,68.11,10.37,2026-05,2704.0,2338.0,2338.0,-21.26
7600,7600.T,日本エム・ディ・エム,2026-06,CONTINUE,7,72.18,82.51,10.33,2025-12,487.0,880.0,880.0,97.74
6861,6861.T,KEYENCE CORP,2026-06,CONTINUE,9,65.87,76.18,10.31,2025-10,57370.0,81060.0,81060.0,23.55
9048,9048.T,名古屋鉄道,2026-06,CONTINUE,10,56.42,66.67,10.25,2025-09,1767.5,1845.5,1845.5,8.68
2502,2502.T,ASAHI GROUP HLDGS,2026-06,NEW,1,28.64,38.78,10.15,2026-06,1548.0,1548.0,1548.0,3.55
7947,7947.T,FP CORP,2026-06,NEW,1,37.81,47.93,10.12,2026-06,2595.0,2595.0,2595.0,-2.12
8366,8366.T,SHIGA BANK,2026-06,CONTINUE,4,89.95,100.0,10.05,2026-03,1863.0,2605.0,2605.0,36.45
3154,3154.T,MEDIUS HLDG CO LTD,2026-06,CONTINUE,2,29.04,39.0,9.96,2026-05,836.0,798.0,798.0,-7.06
6098,6098.T,RECRUIT HOLDINGS CO LTD,2026-06,NEW,1,65.36,75.32,9.96,2026-06,11330.0,11330.0,11330.0,13.15
4819,4819.T,DIGITAL GARAGE,2026-06,CONTINUE,3,21.09,31.03,9.94,2026-04,2459.0,1898.0,1898.0,-6.02
4996,4996.T,KUMIAI CHEMICAL INDUSTRY CO,2026-06,CONTINUE,4,44.94,54.86,9.92,2026-03,775.0,717.0,717.0,-6.71
2802,2802.T,AJINOMOTO CO INC,2026-06,CONTINUE,3,73.8,83.66,9.86,2026-04,5090.0,5873.0,5873.0,2.04
8803,8803.T,HEIWA REAL ESTATE CO,2026-06,CONTINUE,4,52.63,62.44,9.81,2026-03,2414.0,2408.0,2408.0,-3.15
9010,9010.T,FUJI KYUKO CO LTD,2026-06,CONTINUE,3,59.85,69.65,9.8,2026-04,2260.0,2551.0,2551.0,16.73
4709,4709.T,ID HOLDINGS CORPORATION,2026-06,NEW,1,54.67,64.41,9.75,2026-06,1071.0,1071.0,1071.0,4.11
9616,9616.T,KYORITSU MAINTENANCE,2026-06,NEW,1,50.36,60.08,9.72,2026-06,3038.0,3038.0,3038.0,-0.26
6464,6464.T,TSUBAKI NAKASHIMA CO LTD,2026-06,CONTINUE,3,48.36,58.08,9.71,2026-04,326.0,391.0,391.0,12.58
8051,8051.T,YAMAZEN CORP,2026-06,CONTINUE,2,62.98,72.61,9.63,2026-05,1737.0,1681.0,1681.0,-0.52
6135,6135.T,MAKINO MILLING MACHINE CO,2026-06,CONTINUE,4,86.35,95.91,9.57,2026-03,11460.0,15200.0,15200.0,25.83
7868,7868.T,KOSAIDO HOLDINGS CO LTD,2026-06,CONTINUE,7,59.28,68.79,9.51,2025-12,452.0,563.0,563.0,12.83
2175,2175.T,SMS CO LTD,2026-06,CONTINUE,6,77.02,86.5,9.48,2026-01,1634.0,2234.0,2234.0,48.9
9279,9279.T,GIFT HOLDINGS INC,2026-06,CONTINUE,6,61.63,71.08,9.46,2026-01,3675.0,4200.0,4200.0,31.56
3865,3865.T,HOKUETSU CORPORATION,2026-06,CONTINUE,9,36.65,46.06,9.41,2025-10,819.0,877.0,877.0,12.58
9678,9678.T,KANAMOTO CO LTD,2026-06,NEW,1,89.68,99.07,9.39,2026-06,5310.0,5310.0,5310.0,-4.33
6645,6645.T,OMRON CORP,2026-06,CONTINUE,10,63.49,72.84,9.35,2025-09,4070.0,5800.0,5800.0,30.44
3591,3591.T,WACOAL HOLDINGS CORP,2026-06,CONTINUE,2,41.96,51.3,9.34,2026-05,4618.0,4400.0,4400.0,-2.34
7616,7616.T,COLOWIDE CO LTD,2026-06,CONTINUE,4,52.66,61.87,9.21,2026-03,1814.5,1842.5,1842.5,9.51
6412,6412.T,HEIWA CORP,2026-06,CONTINUE,2,37.28,46.45,9.16,2026-05,1942.0,1997.0,1997.0,3.76
