code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,forward_annual_dividend,trailing_annual_dividend,dividend_change_pct,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct,next_earnings_date,earnings_date_start,earnings_date_end,ex_dividend_date,last_dividend_date,signal_version,monthly_rsi14,monthly_rsi_ma5,monthly_rsi14_up,monthly_rsi_ma5_up,monthly_rsi_spread
4547,4547.T,キッセイ薬品工業,2024-12,OUT,4,64.48,70.88,True,True,6.41,2024-09,3545.0,4160.0,4160.0,17.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,3960.0,11.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,70.88,64.48,True,True,6.41
4553,4553.T,東和薬品,2024-12,OUT,1,60.37,63.71,False,True,3.35,2024-12,3355.0,3355.0,3355.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,3015.0,-10.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,63.71,60.37,True,False,3.35
4554,4554.T,富士製薬工業,2024-12,OUT,2,52.69,59.05,True,False,6.37,2024-11,1614.0,1599.0,1599.0,-0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,1469.0,-8.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,59.05,52.69,False,True,6.37
4559,4559.T,ゼリア新薬工業,2024-12,OUT,7,58.07,62.1,True,True,4.02,2024-06,2113.0,2442.0,2442.0,15.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,2237.0,5.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,62.1,58.07,True,True,4.02
4569,4569.T,杏林製薬,2024-12,OUT,1,33.59,34.12,False,True,0.53,2024-12,1505.0,1505.0,1505.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,1472.0,-2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,34.12,33.59,True,False,0.53
4686,4686.T,ジャストシステム,2024-12,OUT,8,49.61,50.09,True,True,0.48,2024-05,2770.0,3515.0,3515.0,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,3370.0,21.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,50.09,49.61,True,True,0.48
4687,4687.T,ＴＤＣソフト,2024-12,OUT,2,68.65,76.44,True,True,7.79,2024-11,1330.0,1575.0,1575.0,18.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,1405.0,5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,76.44,68.65,True,True,7.79
4887,4887.T,サワイグループホールディングス,2024-12,OUT,2,64.26,65.39,False,False,1.13,2024-11,2174.5,2151.0,2151.0,-1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,2011.0,-7.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,65.39,64.26,False,False,1.13
4912,4912.T,ライオン,2024-12,OUT,5,59.05,62.32,True,False,3.27,2024-08,1484.5,1762.5,1762.5,18.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,1663.0,12.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,62.32,59.05,False,True,3.27
4914,4914.T,高砂香料工業,2024-12,OUT,2,80.99,81.59,True,True,0.6,2024-11,1088.0,1166.0,1166.0,7.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,1080.0,-0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,81.59,80.99,True,True,0.6
