code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type
3109,3109.T,シキボウ,2023-11,CONTINUE,2,68.52,79.31,True,False,10.79,2023-10,1066.0,1093.0,1093.0,2.53,1073.88,1052.95,1020.62,False,True,True,True,False,True,True,54263.0,1129.0,-5.58,False,1.29,1.6,0.95,True,2,False,9.41,0.08,False,False,
3662,3662.T,エイチームホールディングス,2023-11,NEW,1,40.71,51.48,True,True,10.77,2023-11,684.0,684.0,684.0,0.0,642.2,629.19,676.39,True,True,True,False,True,False,False,89153.0,945.0,-27.62,False,0.69,2.15,1.05,False,3,True,-6.4,1.75,False,False,
8524,8524.T,北洋銀行,2023-11,CONTINUE,3,71.17,81.89,False,False,10.72,2023-09,361.0,365.0,365.0,1.11,350.56,308.25,289.05,True,True,True,True,True,True,True,1418580.0,400.0,-9.75,False,1.27,3.96,1.07,False,2,True,36.59,4.99,False,False,
1887,1887.T,日本国土開発,2023-11,CONTINUE,3,44.41,55.09,False,False,10.68,2023-09,664.0,589.0,589.0,-11.3,638.68,607.71,591.88,True,True,True,True,True,True,True,152963.0,672.0,-1.19,False,1.4,1.79,1.32,False,2,True,13.19,2.68,False,False,
2198,2198.T,アイ  ･ケイ  ･ケイホールディングス,2023-11,NEW,1,55.37,65.98,True,True,10.61,2023-11,678.0,678.0,678.0,0.0,660.96,679.76,659.36,True,False,True,False,False,True,True,113580.0,741.0,-8.5,False,0.45,1.38,0.86,True,1,False,4.51,1.66,False,False,
2590,2590.T,ダイドーグループホールディングス,2023-11,CONTINUE,9,69.91,80.52,False,True,10.6,2023-03,2435.0,2990.0,2990.0,22.79,2403.9,2383.07,2404.68,True,True,True,False,True,True,False,52893.0,2630.0,-7.41,False,0.84,1.42,0.73,True,3,True,0.94,1.47,False,False,
2201,2201.T,森永製菓,2023-11,CONTINUE,9,74.08,84.65,False,False,10.57,2023-03,1877.5,2638.5,2638.5,40.53,1932.0,1914.73,1956.29,False,False,False,False,True,True,False,321733.0,2225.0,-15.62,False,1.2,1.85,1.04,False,4,False,-5.57,-2.58,False,False,
9107,9107.T,川崎汽船,2023-11,CONTINUE,10,89.43,100.0,True,False,10.57,2023-02,1088.33,1729.67,1729.67,58.93,1024.89,931.77,935.49,True,True,True,False,True,True,True,29423400.0,1232.22,-11.68,False,0.92,2.96,1.05,False,1,True,16.33,0.4,False,False,
1835,1835.T,東鉄工業,2023-11,CONTINUE,2,77.41,87.88,False,False,10.47,2023-10,2931.0,2902.0,2902.0,-0.99,2893.64,2813.64,2725.21,True,True,True,True,False,True,True,77333.0,3035.0,-3.43,False,1.56,1.88,1.09,False,2,False,11.61,-0.68,False,False,
4272,4272.T,日本化薬,2023-11,CONTINUE,2,64.55,75.0,True,True,10.45,2023-10,1289.0,1350.0,1350.0,4.73,1262.14,1275.0,1231.7,True,True,True,False,False,True,True,242280.0,1340.5,-3.84,False,1.03,1.79,0.96,True,2,False,4.83,-0.66,False,False,
7989,7989.T,立川ブラインド工業,2023-11,CONTINUE,3,79.97,90.38,True,True,10.41,2023-09,1414.0,1484.0,1484.0,4.95,1411.96,1325.63,1278.09,True,True,True,True,True,True,True,20000.0,1473.0,-4.01,False,1.27,2.07,1.09,False,2,False,17.5,-1.41,False,False,
4432,4432.T,ウイングアーク１ｓｔ,2023-11,CONTINUE,7,72.59,82.95,True,True,10.36,2023-05,2376.0,3285.0,3285.0,38.26,2222.0,1993.4,2010.91,True,True,True,False,True,True,True,87560.0,2410.0,-1.41,False,0.99,2.26,0.84,True,2,True,36.33,5.09,True,True,MVP
7456,7456.T,松田産業,2023-11,CONTINUE,2,65.35,75.62,True,False,10.27,2023-10,2615.0,2557.0,2557.0,-2.22,2434.0,2326.79,2278.97,True,True,True,True,True,True,True,68113.0,2612.0,0.11,True,1.08,1.97,0.99,True,1,True,14.24,3.71,False,False,
3002,3002.T,グンゼ,2023-11,CONTINUE,2,75.2,85.44,True,True,10.23,2023-10,2257.5,2400.0,2400.0,6.31,2250.6,2251.27,2235.05,True,True,True,False,False,True,True,119680.0,2385.0,-5.35,False,0.72,1.62,0.96,True,2,False,5.25,-0.51,False,False,
3443,3443.T,川田テクノロジーズ,2023-11,CONTINUE,10,89.78,100.0,True,False,10.22,2023-02,405.0,777.78,777.78,92.04,381.8,374.51,392.16,True,True,True,False,True,False,False,69690.0,445.56,-9.1,False,1.29,1.41,1.23,False,1,True,2.42,4.64,False,False,
5444,5444.T,大和工業,2023-11,CONTINUE,10,89.8,100.0,True,False,10.2,2023-02,5450.0,7462.0,7462.0,36.92,5164.0,4828.87,4636.32,True,True,True,True,True,True,True,227923.0,5560.0,-1.98,False,0.86,1.89,0.97,True,2,True,21.92,1.06,False,False,
3407,3407.T,旭化成,2023-11,NEW,1,57.79,67.96,True,True,10.18,2023-11,1026.5,1026.5,1026.5,0.0,986.31,957.37,953.7,True,True,True,True,True,True,True,5489137.0,1031.0,-0.44,False,1.02,1.47,0.88,True,2,True,7.18,1.94,False,False,
3656,3656.T,ＫＬａｂ,2023-11,NEW,1,15.22,25.37,False,True,10.16,2023-11,278.0,278.0,278.0,0.0,271.72,276.53,327.79,True,True,False,False,True,False,False,696643.0,521.0,-46.64,False,0.68,3.78,0.97,True,4,True,-19.04,3.84,False,False,
5020,5020.T,ＥＮＥＯＳホールディングス,2023-11,CONTINUE,8,69.0,79.15,True,False,10.14,2023-04,482.0,584.4,584.4,21.24,472.08,468.03,479.65,True,True,True,False,True,True,False,15112513.0,580.8,-17.01,False,0.82,1.11,0.71,True,3,True,0.31,-0.13,False,False,
8630,8630.T,ＳＯＭＰＯホールディングス,2023-11,CONTINUE,6,63.37,73.5,True,False,10.13,2023-06,2153.0,2252.33,2252.33,4.61,2082.45,1926.89,1943.36,True,True,True,False,True,True,True,4792800.0,2204.33,-2.33,False,0.66,2.28,1.17,False,1,True,15.05,3.54,False,False,
8892,8892.T,エスコン,2023-11,CONTINUE,3,58.77,68.88,True,False,10.11,2023-09,933.0,915.0,915.0,-1.93,913.92,846.03,831.71,True,True,True,True,True,True,True,436650.0,961.0,-2.91,False,0.74,1.81,1.09,False,2,True,13.42,1.51,False,False,
4220,4220.T,リケンテクノス,2023-11,CONTINUE,10,88.12,98.2,True,False,10.07,2023-02,584.0,868.0,868.0,48.63,543.68,507.09,487.55,True,True,True,True,True,True,True,149653.0,582.0,0.34,True,1.52,1.83,1.14,False,2,True,19.86,3.24,True,True,BOTH
6995,6995.T,東海理化電機製作所,2023-11,CONTINUE,10,89.93,100.0,True,False,10.07,2023-02,1560.0,2478.0,2478.0,58.85,1493.44,1483.32,1477.12,True,True,True,True,True,True,True,143643.0,1656.0,-5.8,False,1.4,1.47,0.91,True,2,True,1.58,2.02,False,False,
9101,9101.T,日本郵船,2023-11,CONTINUE,4,72.55,82.61,True,True,10.07,2023-08,3886.0,3974.0,3974.0,2.26,3755.96,3352.86,3244.91,True,True,True,True,True,True,True,7996150.0,3940.0,-1.37,False,0.65,1.9,0.67,True,2,True,21.61,0.11,False,False,
1882,1882.T,東亜道路工業,2023-11,CONTINUE,2,90.02,100.0,True,False,9.98,2023-10,1142.0,1338.0,1338.0,17.16,1066.88,1009.92,858.57,True,True,True,True,True,True,True,110467.0,1122.0,1.78,True,1.19,2.49,1.07,False,2,True,50.14,0.6,False,True,BREAKOUT
1852,1852.T,淺沼組,2023-11,CONTINUE,4,82.27,92.23,True,True,9.97,2023-08,714.0,739.0,739.0,3.5,693.92,663.55,637.64,True,True,True,True,True,True,True,300550.0,714.0,0.0,False,0.83,1.11,0.72,True,2,True,15.91,0.05,False,False,
4658,4658.T,日本空調サービス,2023-11,CONTINUE,10,61.35,71.3,True,True,9.96,2023-02,726.0,801.0,801.0,10.33,711.8,701.08,743.66,True,True,False,False,True,False,False,21037.0,827.0,-12.21,False,0.84,0.98,0.86,True,4,True,-4.28,1.08,False,False,
9621,9621.T,建設技術研究所,2023-11,CONTINUE,4,80.51,90.44,True,True,9.94,2023-08,2205.0,2427.5,2427.5,10.09,1938.8,1803.23,1692.63,True,True,True,True,True,True,True,52867.0,2200.0,0.23,True,0.83,3.71,0.75,True,2,True,38.11,9.81,False,True,BREAKOUT
