code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct,next_earnings_date,earnings_date_start,earnings_date_end,ex_dividend_date,last_dividend_date
4526,4526.T,理研ビタミン,2023-02,OUT,7,69.69,79.74,True,True,10.05,2022-08,1717.0,2077.0,2077.0,20.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,1923.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4534,4534.T,持田製薬,2023-02,OUT,5,47.75,54.55,False,False,6.79,2022-10,3425.0,3400.0,3400.0,-0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,3340.0,-2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,4538.T,扶桑薬品工業,2023-02,OUT,1,30.22,52.55,False,True,22.33,2023-02,1981.0,1981.0,1981.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,1996.0,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4544,4544.T,Ｈ．Ｕ．グループホールディングス,2023-02,OUT,1,44.0,54.52,False,True,10.52,2023-02,2680.0,2680.0,2680.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,2666.0,-0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4548,4548.T,生化学工業,2023-02,OUT,8,38.85,48.7,False,True,9.85,2022-07,861.0,825.0,825.0,-4.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,813.0,-5.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4553,4553.T,東和薬品,2023-02,OUT,1,24.11,27.87,False,False,3.76,2023-02,1915.0,1915.0,1915.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,1895.0,-1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4559,4559.T,ゼリア新薬工業,2023-02,OUT,11,62.28,68.99,False,True,6.7,2022-04,1990.0,2192.0,2192.0,10.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,2245.0,12.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4565,4565.T,ネクセラファーマ,2023-02,OUT,8,55.77,66.37,False,False,10.6,2022-07,1430.0,2206.0,2206.0,54.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,2267.0,58.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4574,4574.T,大幸薬品,2023-02,OUT,1,18.34,19.82,True,True,1.48,2023-02,427.0,427.0,427.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,382.0,-10.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4577,4577.T,ダイト,2023-02,OUT,3,36.7,50.0,False,True,13.3,2022-12,1134.55,1119.09,1119.09,-1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,1119.09,-1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4633,4633.T,サカタインクス,2023-02,OUT,8,54.07,60.14,False,False,6.08,2022-07,986.0,1034.0,1034.0,4.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,1035.0,4.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
