code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal
4082,4082.T,第一稀元素化学工業,2022-12,CONTINUE,7,33.39,36.6,False,False,3.21,2022-06,1181.0,1026.0,1026.0,-13.12,,,,,,,,,,,,,,,,,,,,,,,
8093,8093.T,極東貿易,2022-12,NEW,1,53.02,56.21,False,True,3.19,2022-12,1361.0,1361.0,1361.0,0.0,1336.88,1316.57,1276.58,True,True,True,True,True,True,True,46480.0,1379.0,-1.31,False,0.92,1.43,1.31,False,2,True,9.86,1.31,False
8698,8698.T,マネックスグループ,2022-12,CONTINUE,3,37.43,40.62,False,False,3.19,2022-10,518.0,417.0,417.0,-19.5,,,,,,,,,,,,,,,,,,,,,,,
6701,6701.T,日本電気,2022-12,NEW,1,36.58,39.76,True,True,3.18,2022-12,927.0,927.0,927.0,0.0,942.56,955.48,1001.73,False,False,False,False,False,False,False,4163100.0,1118.0,-17.08,False,0.64,1.39,0.97,True,4,False,-7.19,0.17,False
6490,6490.T,ＰＩＬＬＡＲ,2022-12,CONTINUE,2,49.52,52.64,False,False,3.12,2022-11,2765.0,2734.0,2734.0,-1.12,,,,,,,,,,,,,,,,,,,,,,,
8359,8359.T,八十二長野銀行,2022-12,NEW,1,75.3,78.35,True,True,3.05,2022-12,549.0,549.0,549.0,0.0,514.84,493.64,472.55,True,True,True,True,True,True,True,2089310.0,560.0,-1.96,False,0.69,2.5,1.26,False,2,True,23.37,4.82,False
1802,1802.T,大林組,2022-12,CONTINUE,5,53.45,56.47,False,False,3.02,2022-08,966.0,998.0,998.0,3.31,,,,,,,,,,,,,,,,,,,,,,,
6417,6417.T,ＳＡＮＫＹＯ,2022-12,CONTINUE,2,90.84,93.82,True,False,2.98,2022-11,1072.0,1076.0,1076.0,0.37,,,,,,,,,,,,,,,,,,,,,,,
7988,7988.T,ニフコ,2022-12,CONTINUE,7,42.76,45.7,False,False,2.94,2022-06,3165.0,3100.0,3100.0,-2.05,,,,,,,,,,,,,,,,,,,,,,,
3673,3673.T,ブロードリーフ,2022-12,CONTINUE,8,39.81,42.72,False,False,2.91,2022-05,195.0,219.5,219.5,12.56,,,,,,,,,,,,,,,,,,,,,,,
3696,3696.T,セレス,2022-12,CONTINUE,2,18.83,21.73,False,False,2.9,2022-11,958.0,874.0,874.0,-8.77,,,,,,,,,,,,,,,,,,,,,,,
8070,8070.T,東京産業,2022-12,CONTINUE,5,55.73,58.61,False,False,2.87,2022-08,799.0,752.0,752.0,-5.88,,,,,,,,,,,,,,,,,,,,,,,
2353,2353.T,日本駐車場開発,2022-12,CONTINUE,10,86.09,88.95,True,True,2.86,2022-03,154.0,310.0,310.0,101.3,,,,,,,,,,,,,,,,,,,,,,,
6480,6480.T,日本トムソン,2022-12,CONTINUE,2,44.72,47.53,False,False,2.81,2022-11,609.0,516.0,516.0,-15.27,,,,,,,,,,,,,,,,,,,,,,,
3106,3106.T,倉敷紡績,2022-12,CONTINUE,7,61.07,63.87,True,False,2.8,2022-06,1942.0,2166.0,2166.0,11.53,,,,,,,,,,,,,,,,,,,,,,,
4182,4182.T,三菱瓦斯化学,2022-12,CONTINUE,2,38.07,40.87,False,False,2.8,2022-11,1961.0,1823.0,1823.0,-7.04,,,,,,,,,,,,,,,,,,,,,,,
8392,8392.T,大分銀行,2022-12,CONTINUE,3,58.32,61.08,True,False,2.77,2022-10,361.0,408.4,408.4,13.13,,,,,,,,,,,,,,,,,,,,,,,
3678,3678.T,メディアドゥ,2022-12,CONTINUE,6,25.92,28.62,True,False,2.71,2022-07,2191.0,1731.0,1731.0,-20.99,,,,,,,,,,,,,,,,,,,,,,,
3388,3388.T,明治電機工業,2022-12,NEW,1,27.88,30.51,True,True,2.63,2022-12,1054.0,1054.0,1054.0,0.0,1038.4,1037.23,1053.19,True,True,True,False,True,False,False,15210.0,1308.0,-19.42,False,0.68,1.23,1.11,False,1,True,-3.42,0.81,False
6866,6866.T,日置電機,2022-12,CONTINUE,3,40.61,43.23,True,False,2.62,2022-10,7100.0,6330.0,6330.0,-10.85,,,,,,,,,,,,,,,,,,,,,,,
2146,2146.T,ＵＴグループ,2022-12,CONTINUE,3,36.27,38.79,False,False,2.52,2022-10,162.2,150.67,150.67,-7.11,,,,,,,,,,,,,,,,,,,,,,,
6101,6101.T,ツガミ,2022-12,CONTINUE,2,37.78,40.29,True,False,2.51,2022-11,1184.0,1163.0,1163.0,-1.77,,,,,,,,,,,,,,,,,,,,,,,
4091,4091.T,日本酸素ホールディングス,2022-12,CONTINUE,5,33.26,35.75,False,False,2.49,2022-08,2544.0,1916.0,1916.0,-24.69,,,,,,,,,,,,,,,,,,,,,,,
8218,8218.T,コメリ,2022-12,NEW,1,53.32,55.71,True,True,2.39,2022-12,2733.0,2733.0,2733.0,0.0,2634.96,2661.21,2666.7,True,True,True,False,True,True,False,103643.0,2876.0,-4.97,False,0.84,1.36,1.13,False,3,True,2.57,2.74,False
3436,3436.T,ＳＵＭＣＯ,2022-12,CONTINUE,2,42.48,44.86,False,False,2.38,2022-11,2023.0,1757.0,1757.0,-13.15,,,,,,,,,,,,,,,,,,,,,,,
7482,7482.T,シモジマ,2022-12,CONTINUE,5,36.03,38.36,True,False,2.34,2022-08,1088.0,933.0,933.0,-14.25,,,,,,,,,,,,,,,,,,,,,,,
8081,8081.T,カナデン,2022-12,CONTINUE,14,56.8,59.12,False,False,2.33,2021-11,986.0,1093.0,1093.0,10.85,,,,,,,,,,,,,,,,,,,,,,,
2815,2815.T,アリアケジャパン,2022-12,NEW,1,21.18,23.5,False,True,2.32,2022-12,4365.0,4365.0,4365.0,0.0,4548.0,4810.13,5004.8,False,False,False,False,False,False,False,70460.0,6520.0,-33.05,False,0.64,1.63,1.02,False,4,False,-19.89,-3.56,False
3153,3153.T,八洲電機,2022-12,CONTINUE,9,61.48,63.77,True,True,2.28,2022-04,943.0,1085.0,1085.0,15.06,,,,,,,,,,,,,,,,,,,,,,,
6136,6136.T,オーエスジー,2022-12,CONTINUE,5,47.91,50.19,False,False,2.28,2022-08,1930.0,1817.0,1817.0,-5.85,,,,,,,,,,,,,,,,,,,,,,,
2695,2695.T,くら寿司,2022-12,CONTINUE,5,37.75,40.0,True,False,2.25,2022-08,1620.0,1500.0,1500.0,-7.41,,,,,,,,,,,,,,,,,,,,,,,
1979,1979.T,大氣社,2022-12,CONTINUE,7,51.92,54.1,False,False,2.18,2022-06,1590.0,1667.5,1667.5,4.87,,,,,,,,,,,,,,,,,,,,,,,
6089,6089.T,ウィルグループ,2022-12,CONTINUE,4,46.26,48.42,False,False,2.16,2022-09,1368.0,1198.0,1198.0,-12.43,,,,,,,,,,,,,,,,,,,,,,,
2337,2337.T,いちご,2022-12,CONTINUE,9,40.28,42.42,True,False,2.14,2022-04,290.0,285.0,285.0,-1.72,,,,,,,,,,,,,,,,,,,,,,,
2307,2307.T,クロスキャット,2022-12,CONTINUE,4,64.26,66.39,False,False,2.13,2022-09,1321.0,1340.0,1340.0,1.44,,,,,,,,,,,,,,,,,,,,,,,
8424,8424.T,芙蓉総合リース,2022-12,CONTINUE,6,63.23,65.33,True,False,2.11,2022-07,2720.0,2873.33,2873.33,5.64,,,,,,,,,,,,,,,,,,,,,,,
9274,9274.T,ＫＰＰグループホールディングス,2022-12,CONTINUE,8,70.38,72.45,False,False,2.07,2022-05,391.0,791.0,791.0,102.3,,,,,,,,,,,,,,,,,,,,,,,
7826,7826.T,フルヤ金属,2022-12,CONTINUE,2,49.9,51.96,False,False,2.06,2022-11,3050.0,2970.0,2970.0,-2.62,,,,,,,,,,,,,,,,,,,,,,,
9044,9044.T,ＮＡＮＫＡＩ,2022-12,CONTINUE,12,68.93,70.99,False,False,2.05,2022-01,2269.0,2851.0,2851.0,25.65,,,,,,,,,,,,,,,,,,,,,,,
2674,2674.T,ハードオフコーポレーション,2022-12,CONTINUE,9,76.17,78.2,False,False,2.02,2022-04,815.0,1309.0,1309.0,60.61,,,,,,,,,,,,,,,,,,,,,,,
4461,4461.T,第一工業製薬,2022-12,CONTINUE,3,19.59,21.57,False,False,1.98,2022-10,1855.0,1941.0,1941.0,4.64,,,,,,,,,,,,,,,,,,,,,,,
6200,6200.T,インソース,2022-12,CONTINUE,7,60.52,62.5,False,False,1.98,2022-06,1131.0,1555.0,1555.0,37.49,,,,,,,,,,,,,,,,,,,,,,,
7012,7012.T,川崎重工業,2022-12,CONTINUE,2,64.03,66.0,True,True,1.97,2022-11,585.2,618.0,618.0,5.6,,,,,,,,,,,,,,,,,,,,,,,
