code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct
3315,3315.T,日本コークス工業,2026-03,OUT,2,57.6,62.2,False,False,4.6,2026-02,139.0,115.0,115.0,-17.27,,,,,,,,,,,,,,,2026-04,104.0,-25.18,,,,,,,,,,,,,,,,,,,,,,,,,,
3349,3349.T,コスモス薬品,2026-03,OUT,1,47.37,48.58,False,True,1.21,2026-03,6838.0,6838.0,6838.0,0.0,,,,,,,,,,,,,,,2026-04,6043.0,-11.63,,,,,,,,,,,,,,,,,,,,,,,,,,
3382,3382.T,セブン＆アイ  ･ホールディングス,2026-03,OUT,4,38.66,69.14,False,False,30.48,2025-12,2250.5,2123.5,2123.5,-5.64,,,,,,,,,,,,,,,2026-04,1871.0,-16.86,,,,,,,,,,,,,,,,,,,,,,,,,,
3395,3395.T,サンマルクホールディングス,2026-03,OUT,6,59.82,74.88,False,False,15.05,2025-10,2663.0,2970.0,2970.0,11.53,,,,,,,,,,,,,,,2026-04,2687.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
3407,3407.T,旭化成,2026-03,OUT,9,66.33,66.37,False,False,0.04,2025-07,1055.5,1509.0,1509.0,42.97,,,,,,,,,,,,,,,2026-04,1535.0,45.43,,,,,,,,,,,,,,,,,,,,,,,,,,
3501,3501.T,ＳＵＭＩＮＯＥ,2026-03,OUT,6,69.47,75.08,False,False,5.61,2025-10,1210.0,1363.0,1363.0,12.64,,,,,,,,,,,,,,,2026-04,1269.0,4.88,,,,,,,,,,,,,,,,,,,,,,,,,,
3548,3548.T,バロックジャパンリミテッド,2026-03,OUT,3,44.25,54.17,False,True,9.92,2026-01,782.0,751.0,751.0,-3.96,,,,,,,,,,,,,,,2026-04,727.0,-7.03,,,,,,,,,,,,,,,,,,,,,,,,,,
3612,3612.T,ワールド,2026-03,OUT,2,59.66,62.49,False,False,2.83,2026-02,1651.0,1473.0,1473.0,-10.78,,,,,,,,,,,,,,,2026-04,1517.0,-8.12,,,,,,,,,,,,,,,,,,,,,,,,,,
3649,3649.T,ファインデックス,2026-03,OUT,2,45.13,50.66,False,False,5.53,2026-02,927.0,829.0,829.0,-10.57,,,,,,,,,,,,,,,2026-04,791.0,-14.67,,,,,,,,,,,,,,,,,,,,,,,,,,
3656,3656.T,ＫＬａｂ,2026-03,OUT,10,71.58,72.31,True,False,0.74,2025-06,127.0,311.0,311.0,144.88,,,,,,,,,,,,,,,2026-04,210.0,65.35,,,,,,,,,,,,,,,,,,,,,,,,,,
