code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30
9303,9303.T,住友倉庫,2025-01,NEW,1,61.04,63.64,False,True,2.6,2025-01,2711.0,2711.0,2711.0,0.0,2709.88,2722.43,2668.22,True,False,True,False,False,False,True,101133.0
167A,167A.T,リョーサン菱洋ホールディングス,2025-01,NEW,1,33.1,35.68,False,True,2.58,2025-01,2516.0,2516.0,2516.0,0.0,2500.88,2433.91,2681.81,True,True,False,False,True,False,False,274157.0
1942,1942.T,関電工,2025-01,CONTINUE,3,87.67,90.23,True,True,2.56,2024-11,2204.0,2491.5,2491.5,13.04,,,,,,,,,,,
6744,6744.T,能美防災,2025-01,NEW,1,74.22,76.7,False,False,2.48,2025-01,3095.0,3095.0,3095.0,0.0,3149.6,3040.69,2644.77,False,True,True,True,True,True,True,87467.0
9202,9202.T,ＡＮＡホールディングス,2025-01,CONTINUE,5,43.49,45.88,False,False,2.38,2024-09,3069.0,2914.5,2914.5,-5.03,,,,,,,,,,,
7921,7921.T,ＴＡＫＡＲＡ＆ＣＯＭＰＡＮＹ,2025-01,NEW,1,65.79,68.12,True,True,2.34,2025-01,3120.0,3120.0,3120.0,0.0,2976.44,2824.23,2813.14,True,True,True,True,True,True,True,60033.0
7482,7482.T,シモジマ,2025-01,NEW,1,55.43,57.65,False,True,2.22,2025-01,1320.0,1320.0,1320.0,0.0,1308.96,1305.65,1296.17,True,True,True,True,True,False,False,10673.0
2292,2292.T,Ｓ   Ｆｏｏｄｓ,2025-01,NEW,1,34.06,36.25,False,True,2.19,2025-01,2513.0,2513.0,2513.0,0.0,2606.72,2685.17,2806.81,False,False,False,False,False,False,False,54977.0
6027,6027.T,弁護士ドットコム,2025-01,NEW,1,31.0,33.18,False,True,2.18,2025-01,2785.0,2785.0,2785.0,0.0,2296.28,2620.61,3003.91,True,True,False,False,False,False,False,309870.0
9974,9974.T,ベルク,2025-01,CONTINUE,2,49.02,51.19,True,False,2.17,2024-12,6700.0,6290.0,6290.0,-6.12,,,,,,,,,,,
8194,8194.T,ライフコーポレーション,2025-01,NEW,1,54.59,56.74,True,True,2.15,2025-01,1802.5,1802.5,1802.5,0.0,1745.9,1710.5,1819.64,True,True,False,False,True,False,False,183233.0
8604,8604.T,野村ホールディングス,2025-01,NEW,1,70.35,72.38,True,True,2.03,2025-01,1019.0,1019.0,1019.0,0.0,939.62,895.43,885.11,True,True,True,True,True,True,True,10049300.0
5844,5844.T,京都フィナンシャルグループ,2025-01,NEW,1,54.45,56.46,False,True,2.01,2025-01,2344.0,2344.0,2344.0,0.0,2283.66,2290.97,2469.43,True,True,False,False,False,True,False,771830.0
5852,5852.T,アーレスティ,2025-01,NEW,1,38.7,40.69,False,True,2.0,2025-01,609.0,609.0,609.0,0.0,601.96,560.95,636.67,True,True,False,False,True,True,False,244713.0
6856,6856.T,堀場製作所,2025-01,NEW,1,49.46,51.45,False,True,1.99,2025-01,9783.0,9783.0,9783.0,0.0,9299.04,9088.85,10877.48,True,True,False,False,True,False,False,195313.0
8111,8111.T,ゴールドウイン,2025-01,NEW,1,33.18,35.17,False,False,1.99,2025-01,2737.0,2737.0,2737.0,0.0,2784.09,2803.27,2867.39,False,False,False,False,False,True,False,385710.0
4956,4956.T,コニシ,2025-01,CONTINUE,2,49.59,51.53,False,False,1.94,2024-12,1308.0,1282.0,1282.0,-1.99,,,,,,,,,,,
7942,7942.T,ＪＳＰ,2025-01,NEW,1,61.85,63.71,True,True,1.85,2025-01,2141.0,2141.0,2141.0,0.0,2112.28,2053.15,2109.71,True,True,True,False,False,True,False,38707.0
4326,4326.T,インテージホールディングス,2025-01,NEW,1,48.2,50.0,True,True,1.8,2025-01,1600.0,1600.0,1600.0,0.0,1529.92,1574.09,1532.24,True,True,True,False,False,False,False,171680.0
