code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct,next_earnings_date,earnings_date_start,earnings_date_end,ex_dividend_date,last_dividend_date,signal_version,monthly_rsi14,monthly_rsi_ma5,monthly_rsi14_up,monthly_rsi_ma5_up,monthly_rsi_spread
9401,9401.T,ＴＢＳホールディングス,2025-11,OUT,1,73.37,73.98,True,True,0.61,2025-11,5816.0,5816.0,5816.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,5779.0,-0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,73.98,73.37,True,True,0.61
9413,9413.T,テレビ東京ホールディングス,2025-11,OUT,4,67.14,69.39,True,True,2.25,2025-08,4535.0,4955.0,4955.0,9.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,4580.0,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,69.39,67.14,True,True,2.25
9501,9501.T,東京電力ホールディングス,2025-11,OUT,9,58.22,61.61,True,True,3.39,2025-03,429.7,793.0,793.0,84.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,657.3,52.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,61.61,58.22,True,True,3.39
9509,9509.T,北海道電力,2025-11,OUT,6,60.59,63.84,True,True,3.25,2025-06,751.1,1209.0,1209.0,60.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,1051.0,39.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,63.84,60.59,True,True,3.25
9533,9533.T,東邦瓦斯,2025-11,OUT,5,62.54,67.07,True,True,4.53,2025-07,1051.5,1219.0,1219.0,15.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,1165.75,10.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,67.07,62.54,True,True,4.53
9605,9605.T,東映,2025-11,OUT,3,59.95,64.02,True,True,4.07,2025-09,5380.0,5780.0,5780.0,7.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,5460.0,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,64.02,59.95,True,True,4.07
9627,9627.T,アインホールディングス,2025-11,OUT,9,60.04,62.7,True,True,2.66,2025-03,5039.0,6981.0,6981.0,38.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,6685.0,32.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,62.7,60.04,True,True,2.66
9739,9739.T,ＮＳＷ,2025-11,OUT,1,44.66,45.27,False,True,0.61,2025-11,2575.0,2575.0,2575.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,2529.0,-1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,45.27,44.66,True,False,0.61
9759,9759.T,ＮＳＤ,2025-11,OUT,1,61.3,62.7,False,True,1.39,2025-11,3626.0,3626.0,3626.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,3464.0,-4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,62.7,61.3,True,False,1.39
9795,9795.T,ステップ,2025-11,OUT,1,69.98,70.73,True,True,0.74,2025-11,2500.0,2500.0,2500.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,2421.0,-3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,70.73,69.98,True,True,0.74
9830,9830.T,トラスコ中山,2025-11,OUT,8,53.16,53.4,True,False,0.24,2025-04,2130.0,2388.0,2388.0,12.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,2404.0,12.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,53.4,53.16,False,True,0.24
9861,9861.T,吉野家ホールディングス,2025-11,OUT,1,54.19,54.78,False,True,0.59,2025-11,3166.0,3166.0,3166.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,3071.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,54.78,54.19,True,False,0.59
9974,9974.T,ベルク,2025-11,OUT,1,59.81,60.09,False,True,0.28,2025-11,7610.0,7610.0,7610.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,7530.0,-1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,60.09,59.81,True,False,0.28
