code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct
6140,6140.T,旭ダイヤモンド工業,2023-05,OUT,4,64.58,68.15,False,False,3.57,2023-02,834.0,814.0,814.0,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,866.0,3.84,,,,,,,,,,,,,,,,,,,,,,,,,,
6143,6143.T,ソディック,2023-05,OUT,1,40.19,47.06,False,True,6.87,2023-05,702.0,702.0,702.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,712.0,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,
6183,6183.T,ベルシステム２４ホールディングス,2023-05,OUT,4,50.36,53.81,False,False,3.45,2023-02,1445.0,1381.0,1381.0,-4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,1358.0,-6.02,,,,,,,,,,,,,,,,,,,,,,,,,,
6247,6247.T,日阪製作所,2023-05,OUT,5,58.1,60.23,False,False,2.13,2023-01,860.0,869.0,869.0,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,913.0,6.16,,,,,,,,,,,,,,,,,,,,,,,,,,
6278,6278.T,ユニオンツール,2023-05,OUT,1,36.42,44.25,False,True,7.83,2023-05,3165.0,3165.0,3165.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,3225.0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
6324,6324.T,ハーモニック・ドライブ・システムズ,2023-05,OUT,2,54.12,72.5,True,True,18.38,2023-04,4135.0,4860.0,4860.0,17.53,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,4610.0,11.49,,,,,,,,,,,,,,,,,,,,,,,,,,
6330,6330.T,東洋エンジニアリング,2023-05,OUT,1,37.56,38.51,False,False,0.95,2023-05,525.0,525.0,525.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,588.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6349,6349.T,小森コーポレーション,2023-05,OUT,4,62.43,62.53,False,False,0.1,2023-02,977.0,903.0,903.0,-7.57,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,939.0,-3.89,,,,,,,,,,,,,,,,,,,,,,,,,,
6419,6419.T,マースグループホールディングス,2023-05,OUT,8,88.91,88.98,False,False,0.07,2022-10,1824.0,3025.0,3025.0,65.84,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,2849.0,56.2,,,,,,,,,,,,,,,,,,,,,,,,,,
6480,6480.T,日本トムソン,2023-05,OUT,1,51.25,65.57,False,True,14.32,2023-05,554.0,554.0,554.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,592.0,6.86,,,,,,,,,,,,,,,,,,,,,,,,,,
6507,6507.T,シンフォニアテクノロジー,2023-05,OUT,4,61.44,63.81,False,False,2.37,2023-02,1663.0,1622.0,1622.0,-2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,1716.0,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,
6532,6532.T,ベイカレント,2023-05,OUT,8,55.66,68.26,True,True,12.6,2022-10,4190.0,5110.0,5110.0,21.96,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,5368.0,28.11,,,,,,,,,,,,,,,,,,,,,,,,,,
6533,6533.T,ＯｒｃｈｅｓｔｒａＨｏｌｄｉｎｇｓ,2023-05,OUT,1,21.48,21.81,False,True,0.34,2023-05,1178.0,1178.0,1178.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,1234.0,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,
6535,6535.T,アイモバイル,2023-05,OUT,4,51.11,76.79,False,True,25.67,2023-02,417.0,428.33,428.33,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,408.33,-2.08,,,,,,,,,,,,,,,,,,,,,,,,,,
